GeophoneNumber,Latitude,Longitude,Northing,Altitude
453004823,50.68203583,4.6432635,34.964,112.93
453020066,50.681612,4.643636833,53.186,113.01
453004512,50.68122042,4.644024166,21.817,112.08
453001250,50.68082208,4.64434825,20.4525,110.23
453003484,50.68050833,4.644819917,16.058,106.2
453004744,50.68032333,4.645454833,38.673,99.52
453013956,50.68021117,4.6460815,-38.391,98.32
453004639,50.6800135,4.64678775,-15.351,97.89
453004465,50.67945067,4.647600167,28.7705,99.35
453019524,50.67905458,4.6478665,27.525,100.33
453004444,50.67861617,4.647946,36.455,101.26
453003625,50.678167,4.647962833,-36.291,101.66
