fid,GeophoneNumber,Latitude,Longitude,Northing,xlamb,ylamb
"1","453004823",50.68203583,4.6432635,34.964,669402.154384813,652421.496504388
"2","453020066",50.681612,4.643636833,53.186,669428.718951331,652374.45302603
"3","453004512",50.68122042,4.644024166,21.817,669456.259649292,652331.000790596
"4","453001250",50.68082208,4.64434825,20.4525,669479.333676905,652286.779592043
"5","453003484",50.68050833,4.644819917,16.058,669512.802156606,652252.00792255
"6","453004744",50.68032333,4.645454833,38.673,669557.753360067,652231.602356039
"7","453013956",50.68021117,4.6460815,-38.391,669602.090619153,652219.297232779
"8","453004639",50.6800135,4.64678775,-15.351,669652.089400303,652197.502616468
"9","453004465",50.67945067,4.647600167,28.7705,669709.749680833,652135.119288903
"10","453019524",50.67905458,4.6478665,27.525,669728.744121103,652091.133631241
"11","453004444",50.67861617,4.647946,36.455,669734.552483877,652042.389247137
"12","453003625",50.678167,4.647962833,-36.291,669735.93647746,651992.430767643
